;dendogramas r chic;dendrograma pchic
c11;1;0
c12;1;0
c13;1;0
c14;1;0
c15;1;0
c16;1;1
c17;1;0
c18;1;0
c19;1;0
c20;1;0
c21;1;1
c22;1;0
c23;1;1
c24;1;1
c25;1;0
c26;1;0
c27;1;0
c28;1;0
c29;1;1
c30;1;0
c31;1;0
c32;1;0
c33;1;1
c34;1;0
c35;1;0
c36;1;0
c37;1;0
c38;1;0
c39;1;0
c40;1;0
c41;1;0
c42;1;0
c43;1;1
c44;1;1
c45;1;1
c46;1;1
c47;1;1
c48;1;1
c49;1;1
c50;1;1
c51;1;1
c52;1;1
c53;1;1
c54;1;1
c55;1;1
c56;1;1
c57;1;1
c58;1;1
c59;1;1
c60;1;1
c61;1;1
c62;1;1
c63;1;1
c64;1;1
c65;1;1
c66;1;1
c67;1;1
c68;1;1
c69;1;1
c70;1;1
c71;1;1
c72;1;1
c73;1;1
c74;1;1
c75;1;1
c76;1;1
c77;1;1
c78;1;1
c79;1;1
c80;1;1
c81;1;1
c82;1;1
c83;1;1
c84;1;1
c85;1;1
c86;1;1
c87;1;1
c88;1;1
c89;1;1
c90;1;1
c91;1;1
c92;1;1
c93;1;1
c94;1;1
c95;1;1
c96;1;1
c97;1;1
c98;1;1
c99;1;1
c100;1;1
c101;1;1
c102;1;1
c103;1;1
c104;1;1
c105;1;1
c106;1;1
c107;1;1
c108;1;1
c109;1;1
c110;1;1
c111;1;1
c112;1;1
c113;1;1
c114;1;1
c115;1;1
c116;1;1
c117;1;1
c118;1;1
c119;1;1
c120;1;1
c121;1;1
c122;1;1
c123;1;1
c124;1;1
c125;1;1
c126;1;1
c127;1;1
c128;1;1
c129;1;1
c130;1;1
c131;1;1
c132;1;1
c133;1;1
c134;1;1
c135;1;1
c136;1;1
c137;1;1
c138;1;1
c139;1;1
c140;1;1
c141;1;1
c142;1;1
c143;1;1
c144;1;1
c145;1;1
c146;1;1
c147;1;1
c148;1;1
c149;1;1
c150;1;1
c151;1;1
c152;1;1
c153;1;1
c154;1;1
c155;1;1
c156;1;1
c157;1;1
c158;1;1
c159;1;1
c160;1;1
c161;1;1
c162;1;1
c163;1;1
c164;1;1
c165;1;1
c166;1;1
c167;1;1
c168;1;1
c169;1;1
c170;1;1
c171;1;1
c172;1;1
c173;1;1
c174;1;1
c175;1;1
c176;1;1
c177;1;1
c178;1;1
c179;1;1
c180;1;1
c181;1;1
c182;1;1
c183;1;1
c184;1;1
c185;1;1
c186;1;1
c187;1;1
c188;1;1
c189;1;1
c190;1;1
c191;1;1
c192;1;1
c193;1;1
c194;1;1
c195;1;1
c196;1;1
c197;1;1
c198;1;1
c199;1;1
c200;1;1
c201;1;1
c202;1;1
c203;1;1
c204;1;1
c205;1;1
c206;1;1
c207;1;1
c208;1;1
c209;1;1
c210;1;1
c211;1;1
c212;1;1
c213;1;1
c214;1;1
c215;1;1
c216;1;1
c217;1;1
c218;1;1
c219;1;1
c220;1;1
c221;1;1
c222;1;1
c223;1;1
c224;1;1
c225;1;1
c226;1;1
c227;1;1
c228;1;1
c229;1;1
c230;1;1
c231;1;1
c232;1;1
c233;1;1
c234;1;1
c235;1;1
c236;1;1
c237;1;1
c238;1;1
c239;1;1
c240;1;1
c241;1;1
c242;1;1
c243;1;1
c244;1;1
c245;1;1
c246;1;1
c247;1;1
c248;1;1
c249;1;1
c250;1;1
c251;1;1
c252;1;1
c253;1;1
c254;1;1
c255;1;1
c256;1;1
c257;1;1
c258;1;1
c259;1;1
c260;1;1
c261;1;1
c262;1;1
c263;1;1
c264;1;1
c265;1;1
c266;1;1
c267;1;1
c268;1;1
c269;1;1
c270;1;1
c271;1;1
c272;1;1
c273;1;1
c274;1;1
c275;1;1
c276;1;1
c277;1;1
c278;1;1
c279;1;1
c280;1;1
c281;1;1
c282;1;1
c283;1;1
c284;1;1
c285;1;1
c286;1;1
c287;1;1
c288;1;1
c289;1;1
c290;1;1
c291;1;1
c292;1;1
c293;1;1
c294;1;1
c295;1;1
c296;1;1
c297;1;1
c298;1;1
c299;1;1
c300;1;1
c301;1;1
c302;1;1
c303;1;1
c304;1;1
c305;1;1
c306;1;1
c307;1;1
c308;1;1
c309;1;1
c310;1;1
c311;1;1
c312;1;1
c313;1;1
c314;1;1
c315;1;1
c316;1;1
c317;1;1
c318;1;1
c319;1;1
c320;1;1
c321;1;1
c322;1;1
c323;1;1
c324;1;1
c325;1;1
c326;1;1
c327;1;1
c328;1;1
c329;1;1
c330;1;1
c331;1;1
c332;1;1
c333;1;1
c334;1;1
c335;1;1
c336;1;1
c337;1;1
c338;1;1
c339;1;1
c340;1;1
c341;1;1
c342;1;1
c343;1;1
c344;1;1
c345;1;1
c346;1;1
c347;1;1
c348;1;1
c349;1;1
c350;1;1
c351;1;1
c352;1;1
c353;1;1
c354;1;1
c355;1;1
c356;1;1
c357;1;1
c358;1;1
c359;1;1
c360;1;1
c361;1;1
c362;1;1
c363;1;1
c364;1;1
c365;1;1
c366;1;1
c367;1;1
c368;1;1
c369;1;1
c370;1;1
c371;1;1
c372;1;1
c373;1;1
c374;1;1
c375;1;1
c376;1;1
c377;1;1
c378;1;1
c379;1;1
c380;1;1
c381;1;1
c382;1;1
c383;1;1
c384;1;1
c385;1;1
c386;1;1
c387;1;1
c388;1;1
c389;1;1
c390;1;1
c391;1;1
c392;1;1
c393;1;1
